,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1037,25130085,"(v2) Cozy Room Near City, 6mins Walk ->Aljunid MRT",161561473,Nanda,Central Region,Geylang,1.31129,103.88421,Private room,48,94,49,2022-01-05,0.99,9,364,3
1038,25183317,Superior Single Room in House with services (1),68059127,Wei,East Region,Bedok,1.3189,103.91284,Private room,90,92,1,2018-06-29,0.02,36,89,0
1039,25183623,Superior Double Room in House with services (3),68059127,Wei,East Region,Bedok,1.31754,103.91241,Private room,100,92,6,2022-02-11,0.13,36,315,1
1040,25183926,Superior Double Room in House with services (5),68059127,Wei,East Region,Bedok,1.31828,103.91211,Private room,100,92,0,31/12/2022,0.88,36,0,0
1041,25184205,Superior Double Room in House with services (6),68059127,Wei,East Region,Bedok,1.31878,103.9121,Private room,100,92,3,2020-12-04,0.12,36,265,0
1042,25282863,"Big Room @ Seletar Hills
size 458sq.ft
.",24038248,Lim,North-East Region,Serangoon,1.38143,103.86984,Private room,80,92,103,2020-02-09,0.88,5,0,0
1043,25300648,Scandinavian Inspired Mansionette,107909050,Chlovelle,West Region,Jurong West,1.3539,103.71707,Private room,150,92,4,2018-11-12,0.08,1,0,0
1044,25306072,CBD Condo Common Room near Marina One,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28203,103.85311,Private room,65,92,0,31/12/2022,0.88,45,364,0
1045,25306664,"CLASSY & COZY, 2 BR IN CLEMENTI",156409670,Tia,West Region,Clementi,1.31197,103.7618,Entire home/apt,340,92,0,31/12/2022,0.88,203,364,0
1046,25310826,Unbelievable Breathtaking Water-Serene Condo,519472,Joey,East Region,Tampines,1.34896,103.92735,Entire home/apt,115,92,0,31/12/2022,0.88,1,0,0
1047,25324517,Ensuite Family Room @ NUS Kent Ridge MRT,1439258,Joyce,Central Region,Queenstown,1.27891,103.78764,Private room,300,1,1,2020-01-07,0.03,50,362,0
1048,25353206,highrise Ensuite *attached bathroom @chinatown 9m1,8948251,Joey,Central Region,Outram,1.28417,103.84224,Private room,69,92,1,2018-07-19,0.02,74,356,0
1049,25364632,"Large Private Studio with kitchen,Marina Boulevard",32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28164,103.85358,Entire home/apt,132,92,0,31/12/2022,0.88,45,365,0
1050,25366424,Nice Room@ Seletar Hills,24038248,Lim,North-East Region,Serangoon,1.38351,103.86923,Private room,40,92,86,2020-03-22,1.74,5,161,0
1051,25385698,"Short term stay with us at NUS(201,204,205,209)",52310102,Shnstay,Central Region,Queenstown,1.28136,103.78613,Hotel room,223,1,2,2019-08-28,0.06,6,365,0
1052,25399038,Nice Condominium for your visit in Singapore,181538046,Raeynn,North-East Region,Sengkang,1.37984,103.89745,Private room,65,92,0,31/12/2022,0.88,1,0,0
1053,25402824,Private Bedroom in City Area (2 Single Beds),152646149,En Chern,Central Region,Rochor,1.30288,103.85126,Private room,48,92,5,2019-08-02,0.1,3,88,0
1054,25424295,Budget single rm near NUS NUH for students (D),18618387,Joyce,Central Region,Queenstown,1.28157,103.78746,Private room,58,14,4,2019-04-20,0.08,15,365,0
1055,25432123,"SpaciousC *EnsuiteM, 1min jalan besar, farrer park",2413412,Kaurus,Central Region,Kallang,1.31297,103.85789,Private room,69,92,2,2018-08-31,0.04,100,325,0
1056,25435388,Resort-Feel Private Room In a Luxurious Condo,48751387,Ian,East Region,Bedok,1.32167,103.90557,Private room,99,92,52,2020-03-06,1.08,1,267,0
1057,25440553,"One single bed room for rent, 3 months minimum",50262492,Walter,Central Region,Bishan,1.35331,103.83444,Private room,40,92,0,31/12/2022,0.88,2,0,0
1058,25505227,Go orchard taxi 5 minute,191309433,Zoe,Central Region,Kallang,1.32547,103.86255,Private room,30,92,5,2020-02-22,0.11,7,90,0
1059,25516668,5 minute go orchard taxi master like studio very pretty,191309433,Zoe,Central Region,Kallang,1.32703,103.86461,Private room,80,92,9,2020-06-20,0.18,7,91,0
1060,25711980,"2BR in QUEENSTOWN, PRIME LOCATION IN THE CITY",156409670,Tia,Central Region,Queenstown,1.29226,103.80781,Entire home/apt,330,92,1,2019-07-20,0.03,203,364,0
1061,25746140,New bto common room for rent at canberra crescent,24214608,Akmal,North Region,Sembawang,1.4471,103.83221,Private room,25,180,0,31/12/2022,0.88,1,0,0
1062,25760233,Cecil Street One Bedroom Apartment,23336011,Heritage,Central Region,Outram,1.28235,103.84801,Entire home/apt,150,92,4,2019-10-05,0.08,55,355,0
1063,25765385,"Stunning Queen Room , Facing Marina bay",32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28026,103.85347,Private room,77,92,0,31/12/2022,0.88,45,365,0
1064,25768720,test test,10303863,Shawn,North-East Region,Hougang,1.35699,103.89315,Private room,41,92,0,31/12/2022,0.88,1,0,0
1065,25797887,Downtown Ensuite Master + Personal Living Room,97878860,Chess,Central Region,Outram,1.28495,103.84148,Private room,69,92,1,2018-12-22,0.02,65,172,0
1066,25815030,Single room at river valley,102052937,Marisca,Central Region,River Valley,1.2958,103.83642,Shared room,85,92,16,2021-01-01,0.33,2,90,0
1067,25856210,Woodlands Singapore Private Condon,189717902,Chen,North Region,Woodlands,1.42967,103.7843,Private room,24,92,0,31/12/2022,0.88,1,0,0
1068,25860399,Great view! Ensuite1+1@CBD/Chinatown (Non-Tourist),2413412,Kaurus,Central Region,Outram,1.2842,103.84255,Private room,79,92,1,2019-11-28,0.03,100,356,0
1069,25877353,"CLOSE to NUH/INSEAD, 3BR BOUNA VISTA",156409670,Tia,Central Region,Queenstown,1.30341,103.78508,Entire home/apt,390,92,5,2020-01-02,0.12,203,363,0
1070,25892078,The Executive State,8527085,Ben,Central Region,Downtown Core,1.27972,103.84983,Entire home/apt,328,3,80,2022-05-26,1.63,4,26,2
1071,25899420,New Unfurnished Apartment in Hillview,13467331,Derek,West Region,Bukit Batok,1.35179,103.75778,Entire home/apt,65,93,0,31/12/2022,0.88,1,90,0
1072,25909373,"1970s singlebed *RmE, no-sharing",8948251,Joey,Central Region,Geylang,1.3147,103.88163,Private room,28,92,2,2018-09-23,0.04,74,346,0
1073,25926356,"MODERN 1-BR on NEWTON RD, SINGAPORE",156409670,Tia,Central Region,Novena,1.31669,103.84278,Entire home/apt,280,92,1,2019-07-27,0.03,203,364,0
1074,25927281,"MODERN 1-BR on NEWTON RD, SINGAPORE",138649185,Fiona,Central Region,Novena,1.31623,103.8407,Entire home/apt,280,92,0,31/12/2022,0.88,206,364,0
1075,25949294,Budget Double room for 2  near NEAR NUS(105),52310102,Shnstay,Central Region,Queenstown,1.27936,103.78765,Private room,223,1,0,31/12/2022,0.88,6,365,0
1076,25953564,Private Room [Kampong Glam] - for 6 pax,151316863,Cheryl,Central Region,Rochor,1.30264,103.86022,Hotel room,456,92,0,31/12/2022,0.88,6,235,0
1077,25963531,AweSome view* Ensuite 1+1 @ City (Not For Tourist),2413412,Kaurus,Central Region,Outram,1.28341,103.84165,Private room,79,92,2,2018-12-23,0.04,100,172,0
1078,25985995,"MODERN 2-BR on NEWTON RD, SINGAPORE",156409670,Tia,Central Region,Novena,1.31505,103.84257,Entire home/apt,330,92,2,2019-09-23,0.05,203,364,0
1079,26052120,STROLL AWAY FROM FARRER PARK MRT,156409670,Tia,Central Region,Rochor,1.30714,103.85158,Entire home/apt,160,92,0,31/12/2022,0.88,203,364,0
1080,26093121,Modern One bedroom 4 in Luxury Serviced Apartment,68059127,Wei,East Region,Bedok,1.32358,103.91458,Private room,170,92,0,31/12/2022,0.88,36,342,0
1081,26143135,Private Master Studio in stylish condo!,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28024,103.8516,Private room,95,92,0,31/12/2022,0.88,45,365,0
1082,26183286,Private Bedroom in City Area (Queen Bed),152646149,En Chern,Central Region,Rochor,1.30309,103.8514,Private room,46,92,1,2020-04-30,0.04,3,141,0
1083,26199521,"Very comfortable studio to stay , big balcony nice view",158923082,Joey,Central Region,Queenstown,1.28028,103.78541,Entire home/apt,200,92,2,2018-06-28,0.04,1,0,0
1084,26207243,"1 BR in QUEENSTOWN, PRIME LOCATION IN THE CITY.",138649185,Fiona,Central Region,Queenstown,1.29022,103.80674,Entire home/apt,270,92,0,31/12/2022,0.88,206,364,0
1085,26217724,Luxury 2br Opulent Next to MBS,8527085,Ben,Central Region,Downtown Core,1.28033,103.84893,Entire home/apt,328,3,25,2022-05-11,0.52,4,27,2
1086,26286378,Next to Somerset MRT,197628878,Chin Chin,Central Region,Orchard,1.3004,103.83795,Entire home/apt,140,92,0,31/12/2022,0.88,1,365,0
1087,26290123,Aljunied *Room2 > MRT 3min > CBD 15 mins,2413412,Kaurus,Central Region,Geylang,1.31489,103.88158,Private room,28,92,1,2018-11-07,0.02,100,346,0
1088,26290281,"1970s singlebed Rm*A, no-sharing",8948251,Joey,Central Region,Geylang,1.3149,103.88163,Private room,28,92,2,2020-08-19,0.04,74,346,0
1089,26293068,"1960s Loftbed RmA*, lavender bugis",8948251,Joey,Central Region,Kallang,1.31213,103.86169,Private room,30,92,2,2021-08-29,0.04,74,356,1
1090,26344207,Sufenâs Place,100474068,Sufen,West Region,Choa Chu Kang,1.38611,103.74446,Private room,38,92,17,2020-04-08,0.36,2,0,0
1091,26369349,eHome-Cozy Apartment (Tanah Merah MRT),149873393,Benny,East Region,Bedok,1.32646,103.94751,Entire home/apt,109,92,63,2020-05-15,1.3,1,180,0
1092,26370803,One-Bedroom Deluxe Apartment,178584113,Oakwood Premier AMTD,Central Region,Downtown Core,1.27922,103.84879,Hotel room,365,92,10,2020-01-24,0.22,6,124,0
1093,26382243,kEnsuite Brickwall* @ Chinatown/CBD (Non-Tourist),2413412,Kaurus,Central Region,Outram,1.285,103.84214,Private room,45,92,1,2018-07-13,0.02,100,325,0
1094,26432259,"Big Master Room , Marina One .Downtown Core",32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.2801,103.85331,Private room,85,92,0,31/12/2022,0.88,45,365,0
1095,26435923,The Snug - City /Bathroom/Farrer Pk MRT/Sanitised,56421978,Nancy,Central Region,Kallang,1.31804,103.85151,Private room,62,92,33,2022-02-10,0.71,4,354,10
1096,26583889,Luxurious Penthouse in City Centre 3,1170341,Jenny,Central Region,Tanglin,1.29307,103.82951,Private room,83,92,6,2022-02-14,0.16,3,273,1
1097,26584687,"FAMILY 2BR IN NOVENA, SINGAPORE",156409670,Tia,Central Region,Novena,1.31681,103.84569,Entire home/apt,350,92,0,31/12/2022,0.88,203,364,0
1098,26683920,Private Cosy Master Room @ city centre,134613805,Licya,Central Region,Bukit Merah,1.29039,103.82691,Private room,70,180,69,2020-07-14,1.44,2,239,0
1099,26722862,Aljunied *RoomG > MRT 3min > CBD 15 mins,2413412,Kaurus,Central Region,Geylang,1.3147,103.88163,Private room,28,92,2,2019-02-08,0.05,100,346,0
1100,26770254,Batik Room Singapore,37101162,Molek,East Region,Pasir Ris,1.37572,103.95394,Private room,50,92,0,31/12/2022,0.88,1,0,0
1101,26791029,"BY THE ICONIC RIVERSIDE, 3BR @ CLARKE QUAY",156409670,Tia,Central Region,Singapore River,1.29129,103.84233,Entire home/apt,630,6,5,2019-08-16,0.11,203,290,0
1102,26822021,Heritage apartment: Master rmM3* +bathroom,2413412,Kaurus,Central Region,Kallang,1.31147,103.85826,Private room,50,92,1,2019-07-22,0.03,100,356,0
1103,26849028,"Bohemian Master Suite @ Holland V, Orchard, INSEAD",29666204,Soong,Central Region,Bukit Timah,1.3128,103.79646,Private room,133,92,8,2022-01-22,0.17,3,232,2
1104,26853356,"(At least 3 months rental) Cosy, Hip Private Space",94903993,Elysia,Central Region,Geylang,1.31453,103.89975,Entire home/apt,130,92,1,2019-10-20,0.03,1,294,0
1105,26857526,"Master room with attached bathroom ,Full Bay view",32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28131,103.85358,Private room,94,92,0,31/12/2022,0.88,45,364,0
1106,26965345,"EH4,New Reno,Orchard APT@Emerald Hill,Somerset MRT",25185912,Rebekah,Central Region,Newton,1.30372,103.83991,Private room,66,92,0,31/12/2022,0.88,16,365,0
1107,26973231,"CBD Downtown , Big Master Studio",32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28165,103.85341,Private room,90,92,0,31/12/2022,0.88,45,365,0
1108,27041512,Premium Condo|Full Facilities|Resort|Room,203439587,Julia,Central Region,Bukit Timah,1.3338,103.79077,Private room,100,92,0,31/12/2022,0.88,1,178,0
1109,27069141,"Big Studio , Marina One. Raffles place MRT",32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28173,103.85213,Private room,95,92,0,31/12/2022,0.88,45,364,0
1110,27091696,Ensuite *M1A within Heritage apartment,2413412,Kaurus,Central Region,Kallang,1.31064,103.85953,Private room,88,92,3,2021-02-21,0.06,100,325,0
1111,27125463,"Lavender Semi-Ensuite*, 5 min to MRT",2413412,Kaurus,Central Region,Kallang,1.31128,103.86182,Private room,40,92,1,2018-09-18,0.02,100,325,0
1112,27140686,Walk 3 minutes to Mrt pretty bed room,191309433,Zoe,Central Region,Geylang,1.31569,103.88424,Private room,50,92,5,2018-10-16,0.11,7,91,0
1113,27141929,Taxi orchard road 10 minutes,191309433,Zoe,Central Region,Bukit Merah,1.28051,103.838,Private room,199,92,0,31/12/2022,0.88,7,365,0
1114,27173843,Chinatown doorstep Private RoomW (Not For Tourist),2413412,Kaurus,Central Region,Outram,1.28448,103.84361,Private room,59,92,1,2019-08-13,0.03,100,172,0
1115,27174440,highrise heritage queenbed Rm1 (Not For Tourist),8948251,Joey,Central Region,Outram,1.28312,103.84212,Private room,67,92,0,31/12/2022,0.88,74,172,0
1116,27306443,studio apt with a view in city central Superb area,23466247,Willy,Central Region,Rochor,1.30075,103.86,Entire home/apt,100,100,0,31/12/2022,0.88,3,0,0
1117,27343211,"Orchard, Emerald Hill 1 bedroom suite",119740557,Nicholas,Central Region,Newton,1.30487,103.83859,Private room,99,92,1,2018-12-26,0.02,2,91,0
1118,27406451,"(F) Cozy Room Near City, 6mins Walk->Aljunid MRT",161561473,Nanda,Central Region,Geylang,1.31334,103.88331,Private room,45,92,42,2022-01-23,0.92,9,303,3
1119,27499455,"LUXURY AT EASE, 3BR WITH 3 BATH ON HAVELOCK RD.",138649185,Fiona,Central Region,Singapore River,1.28876,103.83526,Entire home/apt,680,92,0,31/12/2022,0.88,206,364,0
1120,27513236,Maggie's bnb 1bedroom,206769167,Maggie Wu,East Region,Bedok,1.31736,103.908,Private room,80,92,6,2020-01-02,0.13,4,141,0
1121,27513625,Maggie's bnb,206769167,Maggie Wu,East Region,Bedok,1.31674,103.90796,Private room,80,92,5,2019-11-16,0.11,4,110,0
1122,27581596,Maggie's apartment - 1bdroom,206769167,Maggie Wu,East Region,Bedok,1.31765,103.9064,Private room,80,92,2,2019-04-30,0.05,4,264,0
1123,27603657,Boon Lay Guest House,208287759,Ashraf,West Region,Jurong West,1.34938,103.71019,Private room,48,92,1,2018-08-14,0.02,1,0,0
1124,27638361,Tanjong Pagar Pristine Studio Premium Apartment,23336011,Heritage,Central Region,Outram,1.27776,103.84343,Entire home/apt,130,92,7,2020-01-23,0.16,55,365,0
1125,27709128,Master Room with City View,20883050,Alvin,Central Region,Geylang,1.31144,103.88325,Private room,150,92,29,2020-02-08,0.63,3,365,0
1126,27804407,Freedom of Living  2@Jurong West,209952904,Firoza,West Region,Jurong West,1.35086,103.70406,Private room,69,92,0,31/12/2022,0.88,1,90,0
1127,27816487,"STROLL TO QUEENSTOWN MRT, 2-BR @ CW TOWERS",156409670,Tia,Central Region,Queenstown,1.30185,103.7997,Entire home/apt,360,92,1,2022-01-23,0.2,203,364,1
1128,27858471,"24hr self-checkin QueenBed Rm1*, 5min city center",201775246,Hillary,Central Region,Kallang,1.31068,103.86118,Private room,59,92,1,2018-11-14,0.02,46,172,0
1129,27882577,"23hr selfcheckin LoftBed RmA, 5min city center",201775246,Hillary,Central Region,Kallang,1.31083,103.86232,Private room,30,92,1,2018-12-31,0.02,46,356,0
1130,27889309,1 Bedder Unit @ CBD Downtown Line,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28209,103.85237,Entire home/apt,117,92,0,31/12/2022,0.88,45,365,0
1131,27978202,"ENTHRALLING 2-BR IN SIMS DRIVE, ALJUNIED",156409670,Tia,Central Region,Geylang,1.32029,103.88191,Entire home/apt,190,92,0,31/12/2022,0.88,203,364,0
1132,28000993,"500 M to JURONG EAST MRT, 1BR SPACE",138649185,Fiona,West Region,Jurong East,1.33707,103.74297,Entire home/apt,220,30,0,31/12/2022,0.88,206,364,0
